RECORD	DAY	MONTH	YEAR	LOCATION	AGE	SEX	PERIOD	mgconsumed
53	2	4	97	1	1	1	1	0.07
67	16	5	97	0	1	1	2	0.18
69	16	5	97	0	1	1	2	0.39
77	17	6	97	1	1	1	2	0.07
78	17	6	97	1	1	1	2	0.1
79	17	6	97	0	1	1	2	0.08
82	17	6	97	1	1	1	2	0.06
84	17	6	97	0	1	1	2	0.18
86	17	6	97	1	1	1	2	0.28
89	30	6	97	0	1	1	2	0.02
92	30	6	97	0	1	1	2	0.12
100	30	6	97	0	1	1	2	0.12
112	15	7	97	0	1	1	2	0.12
114	15	7	97	0	1	1	2	0.26
118	15	7	97	0	1	1	2	0.13
135	12	9	97	0	1	1	0	0.21
141	12	9	97	1	1	1	0	0.26
142	12	9	97	1	1	1	0	0.15
144	12	9	97	0	1	1	0	0.14
145	12	9	97	0	1	1	0	0.39
146	12	9	97	0	1	1	0	0.04
147	12	9	97	0	1	1	0	0.41
150	26	9	97	0	1	1	0	0.09
151	26	9	97	0	1	1	0	0.14
152	26	9	97	0	1	1	0	0.04
154	26	9	97	0	1	1	0	0.07
155	26	9	97	0	1	1	0	0.02
156	26	9	97	0	1	1	0	0.31
157	26	9	97	0	1	1	0	0.35
158	26	9	97	0	1	1	0	0.04
159	26	9	97	0	1	1	0	0.09
160	26	9	97	0	1	1	0	0.14
162	26	9	97	0	1	1	0	0.11
163	26	9	97	0	1	1	0	0.13
167	13	10	97	0	1	1	0	0.1
170	13	10	97	0	1	1	0	0.1
171	13	10	97	0	1	1	0	0.62
176	13	10	97	0	1	1	0	0.25
177	13	10	97	0	1	1	0	0.09
180	13	10	97	0	1	1	0	0.05
182	13	10	97	0	1	1	0	0.02
186	27	10	97	0	1	1	0	0.17
187	27	10	97	0	1	1	0	0.08
189	27	10	97	0	1	1	0	0.27
190	27	10	97	0	1	1	0	0.22
193	27	10	97	0	1	1	0	0.19
198	11	11	97	1	1	1	0	0.26
212	26	11	97	0	1	1	0	0.06
214	26	11	97	0	1	1	0	0.12
222	26	11	97	0	1	1	0	0.08
223	26	11	97	0	1	1	0	0.08
224	26	11	97	0	1	1	0	0.18
230	10	12	97	0	1	1	0	0.29
